13805, SG-000-000_20001000005, -62
13807, SG-000-000_20001000005, -62
13809, SG-000-000_20001000005, -62
13835, SG-000-000_20001000005, -63
13844, SG-000-000_20001000005, -63
13847, SG-000-000_20001000005, -63
13916, SG-000-000_20001000005, -64
13926, SG-000-000_20001000005, -74
13928, SG-000-000_20001000005, -74
13938, SG-000-000_20001000005, -62
13940, SG-000-000_20001000005, -62
13950, SG-000-000_20001000005, -64
13953, SG-000-000_20001000005, -64
13961, SG-000-000_20001000005, -74
13964, SG-000-000_20001000005, -74
13966, SG-000-000_20001000005, -75
13976, SG-000-000_20001000005, -63
13988, SG-000-000_20001000005, -68
14005, SG-000-000_20001000005, -63
14008, SG-000-000_20001000005, -63
14085, SG-000-000_20001000005, -61
14094, SG-000-000_20001000005, -66
14097, SG-000-000_20001000005, -68
14111, SG-000-000_20001000005, -64
14114, SG-000-000_20001000005, -63
14116, SG-000-000_20001000005, -63
14135, SG-000-000_20001000005, -63
14142, SG-000-000_20001000005, -60
14145, SG-000-000_20001000005, -60
14157, SG-000-000_20001000005, -64
14159, SG-000-000_20001000005, -64
14194, SG-000-000_20001000005, -63
14196, SG-000-000_20001000005, -63
14207, SG-000-000_20001000005, -63
14209, SG-000-000_20001000005, -63
14219, SG-000-000_20001000005, -62
14222, SG-000-000_20001000005, -63
14232, SG-000-000_20001000005, -63
14244, SG-000-000_20001000005, -62
14246, SG-000-000_20001000005, -62
14258, SG-000-000_20001000005, -64
14317, SG-000-000_20001000005, -59
14320, SG-000-000_20001000005, -59
14340, SG-000-000_20001000005, -62
14348, SG-000-000_20001000005, -64
14353, SG-000-000_20001000005, -59
14363, SG-000-000_20001000005, -65
14365, SG-000-000_20001000005, -65
14374, SG-000-000_20001000005, -63
14376, SG-000-000_20001000005, -63
14411, SG-000-000_20001000005, -65
14416, SG-000-000_20001000005, -69
14423, SG-000-000_20001000005, -63
14426, SG-000-000_20001000005, -64
14428, SG-000-000_20001000005, -63
14436, SG-000-000_20001000005, -62
14439, SG-000-000_20001000005, -62
14448, SG-000-000_20001000005, -65
14451, SG-000-000_20001000005, -65
14463, SG-000-000_20001000005, -67
14473, SG-000-000_20001000005, -66
14476, SG-000-000_20001000005, -67
14478, SG-000-000_20001000005, -69
14486, SG-000-000_20001000005, -64
14489, SG-000-000_20001000005, -64
14500, SG-000-000_20001000005, -71
14502, SG-000-000_20001000005, -68
14513, SG-000-000_20001000005, -65
14515, SG-000-000_20001000005, -69
14581, SG-000-000_20001000005, -63
14583, SG-000-000_20001000005, -62
14594, SG-000-000_20001000005, -77
14596, SG-000-000_20001000005, -77
14605, SG-000-000_20001000005, -68
14608, SG-000-000_20001000005, -68
14619, SG-000-000_20001000005, -59
14621, SG-000-000_20001000005, -59
14648, SG-000-000_20001000005, -62
14650, SG-000-000_20001000005, -63
14653, SG-000-000_20001000005, -64
14661, SG-000-000_20001000005, -65
14663, SG-000-000_20001000005, -65
14665, SG-000-000_20001000005, -65
14675, SG-000-000_20001000005, -69
14678, SG-000-000_20001000005, -69
14688, SG-000-000_20001000005, -64
14690, SG-000-000_20001000005, -64
14700, SG-000-000_20001000005, -72
14702, SG-000-000_20001000005, -72
14753, SG-000-000_20001000005, -73
14762, SG-000-000_20001000005, -72
14765, SG-000-000_20001000005, -71
14773, SG-000-000_20001000005, -71
14776, SG-000-000_20001000005, -69
14786, SG-000-000_20001000005, -68
14788, SG-000-000_20001000005, -68
14799, SG-000-000_20001000005, -70
14802, SG-000-000_20001000005, -70
14830, SG-000-000_20001000005, -68
14844, SG-000-000_20001000005, -65
14846, SG-000-000_20001000005, -64
14862, SG-000-000_20001000005, -73
14865, SG-000-000_20001000005, -75
14875, SG-000-000_20001000005, -66
14877, SG-000-000_20001000005, -67
14892, SG-000-000_20001000005, -68
14894, SG-000-000_20001000005, -68
14896, SG-000-000_20001000005, -67
14904, SG-000-000_20001000005, -77
14906, SG-000-000_20001000005, -77
14909, SG-000-000_20001000005, -75
14921, SG-000-000_20001000005, -73
14962, SG-000-000_20001000005, -72
14965, SG-000-000_20001000005, -72
14981, SG-000-000_20001000005, -64
14984, SG-000-000_20001000005, -67
14994, SG-000-000_20001000005, -73
15023, SG-000-000_20001000005, -75
15026, SG-000-000_20001000005, -74
15037, SG-000-000_20001000005, -70
15040, SG-000-000_20001000005, -70
15048, SG-000-000_20001000005, -67
15050, SG-000-000_20001000005, -67
15062, SG-000-000_20001000005, -68
15065, SG-000-000_20001000005, -67
15075, SG-000-000_20001000005, -70
15077, SG-000-000_20001000005, -69
15168, SG-000-000_20001000005, -69
15170, SG-000-000_20001000005, -71
15186, SG-000-000_20001000005, -75
15189, SG-000-000_20001000005, -75
15354, SG-000-000_20001000005, -68
15356, SG-000-000_20001000005, -68
15369, SG-000-000_20001000005, -75
15371, SG-000-000_20001000005, -75
15406, SG-000-000_20001000005, -67
15418, SG-000-000_20001000005, -67
15421, SG-000-000_20001000005, -67
15465, SG-000-000_20001000005, -71
15472, SG-000-000_20001000005, -62
15475, SG-000-000_20001000005, -62
15506, SG-000-000_20001000005, -62
15558, SG-000-000_20001000005, -77
15577, SG-000-000_20001000005, -68
15586, SG-000-000_20001000005, -76
15588, SG-000-000_20001000005, -74
15601, SG-000-000_20001000005, -74
15699, SG-000-000_20001000005, -76
15701, SG-000-000_20001000005, -76
15711, SG-000-000_20001000005, -76
15746, SG-000-000_20001000005, -68
