timestmp,detection
7526.503,0
7565.387,0
7602.142,0
7630.21,0
7660.861,0
7691.466,0
7717.905,0
7740.9529999999995,0
7766.312,0
7788.997,0
7810.299,0
7836.751,0
7864.465,0
7887.529,0
7913.237,0
7935.333,0
7955.854,0
7977.847,0
7997.326,0
8017.46,0
8037.392,0
8058.794,0
8079.527,0
8104.395,0
8124.801,0
8148.433,0
8170.633,0
8193.392,0
8216.113,0
8237.889,0
8259.139,0
8280.728,0
8305.633,0
8328.689,0
8349.65,0
8370.006,0
8390.771,0
8410.113,0
8429.778,0
8449.58,0
8469.243,0
8488.662,0
8512.43,0
8532.719000000001,0
8553.124,0
8572.74,0
8592.0,0
8612.4,0
8633.136,0
8655.373,0
8675.892,0
8697.157,0
8719.068,0
8738.871,0
8757.729,0
8777.013,0
8798.341,0
8818.057,0
8838.375,0
8858.025,0
8877.135,0
8896.905,0
8919.055,0
8939.243,0
8959.179,0
8978.832,0
9000.497,0
9023.689,0
9043.899,0
9064.471,0
9086.907,0
9107.347,0
9126.446,0
9149.347,0
9171.943,0
9192.116,0
9213.624,0
9233.889,0
9255.436,0
9274.881,0
9294.599,0
9315.836,0
9336.101,0
9358.098,0
9378.45,0
9398.824,0
9419.308,0
9440.817,0
9459.362,0
9478.982,0
9496.645,0
9515.382,0
9535.194,0
9554.537,0
9575.8,0
9595.065,0
9620.35,0
9640.425,0
9663.725,0
9682.253,0
9701.67,0
9724.08,0
9744.231,0
9763.226,0
9785.971,0
9808.433,0
9829.643,0
9850.554,0
9870.134,0
9891.795,0
9912.253,0
9931.445,0
9951.815,0
9973.162,0
9991.772,0
10012.37,0
10031.312,0
10049.806,0
10070.886,0
10091.554,0
10110.451,0
10132.956,0
10159.183,0
10179.863,0
10203.46,0
10224.976,0
10243.444,0
10263.885,0
10285.175,0
10309.514,0
10330.394,0
10352.711,0
10372.636,0
10392.327,0
10413.317,0
10432.744,0
10452.95,0
10474.919,0
10494.856,0
10514.828,0
10536.082,0
10561.216,0
10581.503,0
10601.755,0
10620.504,0
10645.728,0
10669.264,0
10691.853,0
10717.236,0
10736.779,0
10756.163,0
10776.194,0
10795.686,0
10817.033,0
10838.692,0
10859.907,0
10880.851,0
10905.096,0
10923.708,0
10943.439,0
10962.957,0
10983.11,0
11002.737,0
11023.524,0
11044.011,0
11064.163,0
11085.22,0
11106.506,0
11125.714,0
11148.401,0
11175.845,0
11196.07,0
11215.292,0
11238.191,0
11259.923999999999,0
11280.112,0
11300.257,0
11320.325,0
11339.917,0
11357.916,0
11376.203,0
11397.465,0
11417.913,0
11438.845,0
11457.46,0
11478.962,0
11499.384,0
11523.602,0
11541.722,0
11560.803,0
11581.515,0
11602.268,0
11622.312,0
11640.851,0
11668.159,0
11687.388,0
11708.742,0
11729.753,0
11755.324,0
11776.003,0
11795.294,0
11817.293,0
11838.878,0
11860.489,0
11881.494,0
11904.176,0
11926.067,0
11948.925,0
11971.98,0
11992.831,0
12013.371,0
12033.044,0
12053.977,0
12074.413,0
12098.499,0
12118.644,0
12140.499,0
12162.525,0
12183.735,0
12203.027,0
12225.154,0
12244.556,0
12265.505,0
12286.517,0
12306.246,0
12326.55,0
12347.108,0
12366.122,0
12389.006,0
12410.824,0
12432.486,0
12455.027,0
12476.472,0
12498.021,0
12520.251,0
12540.494,0
12561.22,0
12581.811,0
12604.298999999999,0
12624.452,0
12644.242,0
12664.447,0
12684.643,0
12707.246,0
12725.68,0
12747.007,0
12766.801,0
12787.378,0
12810.694,0
12829.72,0
12849.767,0
12870.446,0
12890.501,0
12910.408,0
12931.536,0
12951.091,0
12972.1,0
12993.392,0
13012.586,0
13034.096,0
13054.29,0
13074.888,0
13097.034,0
13118.352,0
13138.707,0
13160.504,0
13180.056,0
13201.284,0
13220.645,0
13241.312,0
13261.786,0
13282.202,0
13305.548,0
13324.759,0
13344.833,0
13365.812,0
13385.068,0
13405.73,0
13425.825,0
13447.893,0
13470.693,0
13492.407,0
13512.822,0
13534.405999999999,0
13556.336,0
13576.834,0
13599.065,0
13621.507,0
13642.818,0
13665.47,0
13686.977,0
13708.015,0
13729.794,0
13753.13,0
13775.587,0
13798.109,0
13818.030999999999,0
13840.03,0
13861.941,0
13884.434,0
13906.945,0
13926.798,0
13946.877,0
13968.581,0
13992.704,0
14013.642,0
14033.804,0
14052.83,0
14076.236,0
14097.207,0
14119.036,0
14140.673,0
14164.266,0
14186.315,0
